Name,Website,Level of operation,Country,latitude,longitude,Continent,Headquater,Start,Type (ILO),Typology,Sector (ILO definitions),Sub-category,Type of work,Size,Business model,Employment relationship,Payment,Working hours,Worker provisions,Quality assurance measures,Matching method,Disputes,Skill level (professional),Skill level (digital),Language,Contact,Founder
Pengo Insight,pengoinsight.com,Regional,Africa,-8.783195,34.508523,Africa,South Africa; Egypt,2019,Web-based,Online marketplace with a threshold,Professional services,Specialised freelancing,"Consulting, Knowledge marketplace",-,"Workers: experts
Platform: It connects clients to experts who can provide subject matter expertise and strategic insight on industries, companies, and markets across Africa, the Middle East, and beyond. Experts need to complete compliance training that covers securities laws, confidentiality laws and the platform policies. For every project, the platfrom screens potential candidates to assess their eligibility and any potential conflicts of interest.",-,-,-,Training: NextGen Business Analyst training,-,Hand matching,-,High,Intermediate,English," Phone number and Email here: +27 21 808 1677

hello@pengoinsight.com","Mac Mabidilala
https://www.linkedin.com/in/mac-mabidilala-56825024/"
Mr Handy,https://www.mrhandy.co.za/,Country,South Africa,-30.559482,22.937506,Africa,South Africa,2004,Location-based,Situ marketplace,Personal services,Personal service,"Builder, carpenters, electricians, gardeners, painters, plumbers",Local,Platform: Mr Handy connects customers to home service providers and charges service providers for listing on their website.,Independent contractor,-,-,"Other (marketing, charged service)",-,Free choice,-,Medium,Basic,English,Phone number is provided: 087 8200 780,"GSMA, Patrick J. McGovern Foundation, Jochnick Foundation, Svenska Postkod Stiftelsen"
Handyman Direct,https://www.handymandirect.co.za/,Country,South Africa,-30.559482,22.937506,Africa,South Africa,2009,Location-based,Situ marketplace,Personal services,Personal service,"Aluminium, Carpenter, flooring, etc.",1628 contractors,"Workers: trademen
Platform: HandymanDirect is all about connecting local tradesmen with local customers. Customers post job request, [with good details] sit back & they will be contacted directly by up to 3 of South Africa's Contractors. ",Independent contractor,-,-,-,-,Free choice,-,Medium,Basic,English,Email:  info@handymandirect.co.za,-
TROTRO Tractor,https://www.trotrotractor.com/,Country,Ghana,7.946527,-1.023194,Africa,Ghana,2016,Location-based,Asset sharing,Agriculture,Rental,Rental of farm machine,,"Platform: This platform connects owners of tractors with other farmers, allowing owners to lease out their tractors when not in use, giving other farmers expanded access to agricultural machineray.",-,-,-,-,-,Free choice,-,Low,Basic,English,,"Emmanuel Ansah-Amprofi, Kamal Yakub, Adam Muhideen Muhammed
https://www.linkedin.com/in/eaamprofi/"
Yegomoto,https://yegomoto.com/,Country,Rwanda,-1.940278,29.873888,Africa,"Kigali, Rwanda",2016,Location-based,Situ intermediaries,Transport,E-hailing,Motorcycle taxi ride-hailing,-,"Workers: Drivers
Platform: Connect drivers with passengers, automatic calculation of fees and provide cashless payment",Independent contractor,Set by the platform,-,Training,In-app tracking,Algorithmic matching ,-,Medium,Basic,"English, French, Kinyawada"," General Enquiries: info@yegomoto.com
 Business Enquiries: partner@yego.sg
 Support: 9191@yegomoto.com
 +250 783 91 91 91
 +250 786 41 91 91",Karan Singh
Vukaboda,https://vukaboda.com/,Regional,Africa,-8.783195,34.508523,Africa,"Dar es Salaam, Tanzania",2019,Web-based,"E-commerce
",Commerce,Online shopping,Online marketplace,-,"Workers: Sellers
Platform:  Provide infrastructure for sellers and charge them for an annual fee",Independent contractor,-,-,-,-,-,-,Medium,Intermediate,English,,Festo Shizya
Twende,https://twende.co.tz/,Country,Tanzania,-6.369028,34.888822,Africa,"Nairobi Area, Kenya",2017,Location-based,Situ intermediaries,Commerce; Transport,Online shopping; Logistics/Courier,"Ride-sharing, air & bus ticketing, ecommerce, food & parcel delivery and car rental",-,"Workers: Drivers (car, motocycle, tricycle)
Platform: Connect drivers with passengers, automatic calculation of fees and provide cashless payment
It also has e-commerce and food delivery service, only through their app.",Independent contractor,-,-,-,-,-,-,Medium,Basic,English,Email: sales@twende.co.tz,"Kiptoo Magutt, Ramah Kipkorir"
Shoponline,https://www.shoponline.co.tz/,Country,Tanzania,-6.369028,34.888822,Africa,Tanzania,2015,Web-based,"E-commerce
",Commerce,Online shopping,Online marketplace,-,"Workers: Sellers
Platform:  Provide infrastructure for sellers ",Independent contractor,-,-,-,-,-,-,Medium,Basic,English,,-
Zudua,https://zudua.co.tz/,Country,Tanzania,-6.369028,34.888822,Africa,"Dar-es-salaam, Tanzania",2017,Web-based,"E-commerce
",Commerce,Online shopping,Online marketplace,-,"Workers: Sellers (service)
Platform:  Provide infrastructure for sellers (will be contacted once an application is submitted)",Independent contractor,-,-,-,-,-,-,Medium,Intermediate,English,,Hussein Dewji 
Piki,https://www.piki.co.tz/,Country,Tanzania,-6.369028,34.888822,Africa,"Dar-es-salaam, Tanzania",2020,Web-based,E-commerce,Commerce,Online shopping; Logistics/Courier,Online marketplace and food delivery,-,"Workers: Restaurants/grocery store owners, drivers, delivery men; vendors
Platform: 1) Provide business support to restaurants/grocery store owners; 2) Act as e-commerce platform for vendors; 3) Facilitate delivery to local customers; 4) Connect drivers to passengers; ",Independent contractor,-,-,-,-,-,-,Medium,Basic,English,No contact info is provided on the website,"Zadok Prescott
https://www.linkedin.com/in/zadok-prescott-6249104/"
Ping,App,Country,Tanzania,-6.369028,34.888822,Africa,"Dar-es-salaam, Tanzania",2018,Location-based,Situ intermediaries,Transport,E-hailing,Ride-hailing,-,"Workers: Drivers (car, motocycle, tricycle)
Platform: Connect drivers with passengers, only available through app.",Independent contractor,-,-,-,-,-,-,Medium,Basic,English,,not found
Fundis,https://fundis.co.ke/,Country,Kenya,-0.023559,37.906193,Africa,"Nairobi, Kenya",2018,Location-based,Situ marketplace with a threshold,Personal services,Personal service,"Appliances fixing, cleaning, electrical works, etc. services",thousands of workers,"Workers: artisans: plumbers, carpenters, cleaners, electricans, nannies, etc., those who used to be in informal sector.
Platform: Once a customer submit a need, the platform will connect them with an artisan who will give a quote.",Independent contractor,-,-,-,-,-,-,Low,Basic,English,"All pros are vetted for character, skills, and reliability.","Alex Liwali Kamanga, Jeffrey Dozva, Sylviah Mwitumi"
Godel,https://www.go-del.com/tz/,Country,"Tanzania, Uganda",1.373333,32.290275,Africa,-,2018,Location-based,Situ intermediaries,Transport,Logistics/Courier,City delivery services,-,"Workers: Delivery persons (bikes, vans, trucks)
Platform: Take orders, connect to delivery person and provide tracking of the order ",Independent contractor,-,-,-,In-app tracking,Algorithmic matching ,-,Low,Basic,English,"Phone:
0737212495

Email:
info@go-del.com",-
Little,https://little.bz/ug,Regional,"Kenya, Tanzania, Uganda, Zambia, Ghana, India, Somalia,Ethiopia",-6.369028,34.888822,Africa,Kenya,2018,Location-based,Situ intermediaries,Transport,Logistics/Courier,"Ride-sharing, deliveries (food, medicines, documents), healthcare (book clinic visits), entertainment (events and tickets booking)",-,"Workers: Drivers, delivery men, restaurants/ grocery store owners/phamacies
Platform: 1. offer on-demand delivery services; 2. provide on-demand ride request services with an array of car categories to choose ranging from Economy to Confort+; 3. Provide mobility solutions to coporates: taxi, shuttle, logistics, executive vehicles. 4. Act as a platform of tickets booking (movie) ",Independent contractor,-,-,-,In-app tracking,Algorithmic matching ,-,Low,Basic,English and others,We can reach them at: corporate@little.africa,
TruTrade Africa,http://www.trutradeafrica.net/,Country,"Kenya, Uganda",1.373333,32.290275,Africa,"Kenya, Uganda",2015,Location-based,Situ intermediaries,Agriculture,Other,Value-chain negotiation for agricultural products,30k+ farmers,"Workers: farmers; village agents
Platform: TruTrade negotiates supply contracts with buyers and registers deals that make business sense on the platform. Farmers bring produce to a collection point, a village agent checks quality, weighs and then triggers a payment directly from TruTrade to the farmer’s mobile. TruTrade manages the aggregation from different agents, transaction logistics and delivery to the final buyer. There is a commission-based service charge linked to what farmers get paid and any profit is shared equally between farmers and TruTrade. TruTrade establishes networks of village agents who provide their Trade Transparancy Service to rural communities. The mobile-enabled trading and payment platform enables collaborative supply chain management, allowing price setting, tracking of produce from collection to delivery and of payments from buyer to farmer.",-,-,-,-,-,-,-,Low,Basic,English,Email: info@trutradeafrica.net,"Clive Lightfoot, Moody Soliman"
Spesho,https://speshotaxi.co.ug/,Country,Uganda,1.373333,32.290275,Africa,Uganda,2016,Location-based,Situ intermediaries,Transport,Logistics/Courier,Ride sharing,-,"Workers: Riders (motocycles) & drivers
Platform: Take drivers as partners who find flexible work opportunities on the platform. Facilitate fee calculation and cashless payment. ",Independent contractor,-,-,-,In-app tracking,Algorithmic matching ,-,Low,Basic,English,"EMAIL ADRESS
ops@speshotaxi.co.ug",-https://www.linkedin.com/in/stella-marina-46030816a/
Ugamall,https://ugamall.com/,Country,Uganda,1.373333,32.290275,Africa,Uganda,2018,Web-based,"E-commerce
",Commerce,Online shopping,Online marketplace for all goods,-,"Demand: Customers
Workers: Sellers
Platform: A platform connects buyers and sellers",-,-,-,-,-,-,-,Medium,Intermediate,English,,Yusuf Mayega
AfriDelivery,https://afrideliverymall.com/,Country,Zambia,-13.133897,27.849332,Africa,"Lusaka, NA, Zambia",2017,Location-based,Situ intermediaries,Transport,Logistics/Courier,Delivery and courier service,-,"Workers: Restaurants/store (grocery, pharmacy, supermarkets) owners; delivery persons
Platform: Provide support for business partners: 1) promote business by approaching more customers who registered on the platform; 2) Send orders to business partners over phone, computer or tablet; 3) the platform takes care of the  customer and logistics; 4) Send reports and statistics about orders placed through the platform.",Independent contractor,-,-,-,-,Algorithmic matching ,-,Low,Basic,English,Email: info@afridelivery.com,"Afshon Wallace Ngige
https://www.linkedin.com/in/afshon-wallace-a5796652/"
Pa-Zed,http://www.pa-zed.com,Country,Zambia,-13.133897,27.849332,Africa,"Lusaka, Zambia",2014,Web-based,"E-commerce
",Commerce,Online shopping,Online marketplace for all goods,Largest online shopping mall in Zambia,"Workers: Vendors
Platform: e-commerce services.",Independent contractor,-,-,-,-,-,-,Medium,Intermediate,English,,-
Maano,app,Country,Zambia,-13.133897,27.849332,Africa,Zambia,2017,Web-based,"E-commerce
",Commerce; Agriculture,Online shopping,Intermediary between traders and farmers,-,Platform: it is an app based network that allows farmers to interact with traders and other buyers.,-,-,-,-,-,Free choice,-,Low,Basic,English,,Evin Joyce
Ulendo Ride,app,Country,Zambia,-13.133897,27.849332,Africa,Zambia,2018,Web-based,Situ intermediaries,Transport,E-hailing,Rideshare and taxi cab booking,two cities in Zambia,"Workers: Drivers
Platform: Match drivers with passengers. Facilitate rideshare and taxi booking.",Independent contractor,-,-,-,-,Algorithmic matching ,-,Low,Basic,English,,-
Zedtutors,https://www.zedtutors.com/,Country,Zambia,-13.133897,27.849332,Africa,Zambia,2018,Web-based,Online marketplace with a threshold,Education,Specialised freelancing,E-learning,-,"Workers: tutors
Platform: it matches learners with tutors.",Independent contractor,-,-,-,-,Free choice,-,High,Basic,English,"Only their phone number is provided: 
+260 955 161 308","Shepherd Simukonda, David Nsai davidnsai"
Tigmoo,https://www.tigmoo.com/,Country,Zambia,-13.133897,27.849332,Africa,"Longacres Lusaka, Zambia",2016,Web-based,"E-commerce
",Commerce,Online shopping,Online marketplace for all goods,-,Platform: it provides e-commerce services to sellers and customers.,-,-,-,-,-,-,-,Medium,Intermediate,English,,Vikas Kumar
Vukaboda,https://vukaboda.com/,Regional,Africa,-8.783195,34.508523,Africa,"Dar-es-salaam, Tanzania",2019,Web-based,"E-commerce
",Commerce,Online shopping,Online marketplace for all goods,,"Workers: sellers and suppliers
Platform: Provide support to sellers on opening online stores and logistics. Register fee is $20. 2% transaction fee will be charged.",-,-,-,-,-,-,-,Medium,Intermediate,Multi-language,,Festo Shizya
Yookoo Ride,http://ride.yoonet.co.za/,Country,South Africa,-30.559482,22.937506,Africa,"
Johannesburg, South Africa",2017,Web-based,Situ intermediaries,Transport,E-hailing; Logistics/Courier,"e-hailing, food delivery",-,"Workers: Drivers and delivery persons
Platform: Connect drivers to riders and provide cashless payment; provide food delivery.",Independent contractor,Bargaining between passengers and riders,-,-,Other: Facial recognition of riders and drivers,Algorithmic matching ,-,Medium,Basic,English,Email: info@yookoo.org,Temesgen Tesfay
RentMyRide,https://www.rentmyride.co.za/,Country,South Africa,-30.559482,22.937506,Africa,"Cape Town, South Africa",2016,Location-based,Asset sharing,Transport,Rental,Car rental,-,"Workers: people who lease their cars
Platform: It is a car sharing marketplace",-,-,-,-,-,-,-,Low,Basic,English,,"Sebastian Brokmann, Peter Puren "
SweepSouth,https://sweepsouth.com/,Country,South Africa,-30.559482,22.937506,Africa,"Cape Town, South Africa",2014,Location-based,Situ intermediaries,Personal services,Personal service,On-demand domestic services,25k+ workers,"Workers: domestic workers
Platform: It connets service providers to those who need the services.",Independent contractor,Set by the platform,-,Training (digital and financial literacy),-,-,-,Low,Basic,English,Only phone number is provided and a contact request form: 087-711-0573,"Aisha Pandor, Alen Ribic"
Mr D Food,https://www.mrdfood.com/,Country,South Africa,-30.559482,22.937506,Africa,"Cape Town, South Africa",2016,Location-based,"E-commerce
",Commerce,Logistics/Courier,Food delivery,8000+ restaurants,"Workers: Restaurant owners, delivery persons
Platform: It partners with restaurant owners and provide delivery services.",-,Set by the platform,-,-,-,-,-,Low,Basic,English,,Devin Sinclair 
Pickup,https://picup.co.za/,Country,South Africa,-30.559482,22.937506,Africa,"Cape Town, South Africa",2014,Location-based,Situ intermediaries,Transport,Logistics/Courier,Delivery and logistic services,1.6k+ workers,"Workers: crowdsourced drivers
Platform: It provides on-demand delivery and other business including logistic management, address management and data cleaning, and fleet management.",Independent contractor,Set by the platform,-,-,In-app tracking,-,-,Low,Basic,English,Only phone number is provided:+27 (0) 86 999 0393,Antonio Bruni
Education Matters,https://educationmatters.co.za,Country,South Africa,-30.559482,22.937506,Africa,"Gauteng, South Africa ",2016,Both,Online marketplace with a threshold,Education,Specialised freelancing,Tutoring,-,"Workers: tutors
Platform: It screens people (graduates or current or retired teachers) who'd like to be a tutor. It matches students who need a tutor with a suitable tutor. It schedules lessons for students and their tutors and monitor student profess by asking tutors to report on a monthly basis. It also handles other administrations.",Independent contractor,-,-,-,Employers' inspection of progress Workers report on a monthly basis on student progress,Hand matching,-,High,Intermediate,English,"contact provided: info@educationmatters.co.za

Tel:  063 108 8598
 ",Tony Richardson
Nomad Now,https://www.nomadnow.co/,Country,South Africa,-30.559482,22.937506,Africa,"Johannesburg, South Africa",2018,Web-based,Online marketplace,Professional services,Multi-sectoral freelancing,Freelance and permanent job marketplace,-,"Workers: Freelancers and full-time job seekers
Platform: It is a freelance marketplace and a job marketplace. Registeration is needed to browse freelancers' and job seekers' profiles or job posts. 7% is appliable to both freelancers and employers if it is an on-demand job. For permanent placements Nomad Now charges Hirers (only) a placement fee of 7% of the Permanent Placement ‘Order’ Value (i.e.: of the Candidate's annual total cost-to-company remuneration), plus VAT. ",-,Set by freelancers,-,-,-,Algorithmic matching ,,High,Intermediate,English,"Phone: +27 (0) 11 325 5400
E-mail: info@nomadnow.co","Ross Paton & Christel Bezou,"
